id,URL,Restaurant,Longitude,Latitude,Rating,Category,PriceLevel,City
ChIJCaukbXT4aS4RMsByp_appE0,https://maps.google.com/?cid=5594783513937362994,McDonald's Citra Garden 6,106.71397,-6.12772,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJEwybbp0Cai4R0OaY6cLEw58,https://maps.google.com/?cid=11512261413910931152,Saung Rawa Lele,106.690115,-6.1388513,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJhQvpd234aS4RPRMUp50gvSc,https://maps.google.com/?cid=2863480799562568509,KFC - Citra Garden 2,106.7073208,-6.1426607,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJLUCREkwdai4RI_awze_femE,https://maps.google.com/?cid=7024172789878814243,SUJI - Suan Cai Yu | PIK,106.7442166,-6.0934035,4.7,chinese_restaurant,EXPENSIVE,Jakarta Barat
ChIJ5fj5_BUdai4RCrWgEgi02ps,https://maps.google.com/?cid=11230486567567013130,Jinmu Dumpling é‡‘æœ¨,106.7477846,-6.1127159,4.4,chinese_restaurant,MODERATE,Jakarta Barat
ChIJgwmbiEAdai4RLqInpGQtqqY,https://maps.google.com/?cid=12009461266610889262,GIOI by the Farm,106.7415943,-6.0900452,4.5,restaurant,EXPENSIVE,Jakarta Barat
ChIJSWgc_Xf1aS4RJEJAAyoONJQ,https://maps.google.com/?cid=10679176190008246820,Talaga Sampireun Menteng,106.8407016,-6.1793363,4.4,indonesian_restaurant,EXPENSIVE,Jakarta Pusat
ChIJQYvLj7v1aS4RpABCmHw_fuw,https://maps.google.com/?cid=17041127844379492516,TanSu Kemayoran,106.8493247,-6.1608762,4.6,restaurant,INEXPENSIVE,Jakarta Pusat
ChIJN1Pzxo31aS4R54gjEt4JP8U,https://maps.google.com/?cid=14213089798396283111,Ragusa Es Italia,106.8298953,-6.1697846,4.4,ice_cream_shop,MODERATE,Jakarta Pusat
ChIJmzRSGeD1aS4RELtI48vhrb8,https://maps.google.com/?cid=13811943898022984464,McDonald's Hayam Wuruk,106.819556,-6.16079,4.5,fast_food_restaurant,MODERATE,Jakarta Pusat
